,userid,class,gender,start_date,end_date,event_type,is_deleted
149,HD453390,C03,M,2015-07-01 0:00,,CA1,0
150,GD138948,C03,F,2015-07-01 0:00,,CA1,-1
151,TS673226,C02,F,2015-07-01 0:00,,CA1,-1
152,IK357051,C01,M,2015-07-01 0:00,,CA1,0
153,HI859298,C03,M,2015-07-01 0:00,,CA1,0
154,AS065870,C01,M,2015-07-01 0:00,,CA1,0
155,GD700613,C02,F,2015-07-01 0:00,,CA1,0
156,TS554037,C03,F,2015-07-01 0:00,,CA1,0
157,PL827485,C01,F,2015-07-01 0:00,,CA1,0
158,AS828426,C03,M,2015-07-01 0:00,,CA1,0
159,GD009242,C02,F,2015-07-01 0:00,,CA1,0
160,HI092194,C01,F,2015-07-01 0:00,,CA1,0
161,PL812388,C03,M,2015-07-01 0:00,,CA1,0
162,OA025439,C01,M,2015-07-01 0:00,,CA1,0
163,TS023216,C02,F,2015-07-01 0:00,,CA1,0
164,TS440617,C02,F,2015-07-01 0:00,,CA1,-1
165,HI525283,C03,F,2015-07-01 0:00,,CA1,0
166,GD812702,C01,F,2015-07-01 0:00,,CA1,0
167,IK560941,C02,F,2015-07-01 0:00,,CA1,0
168,GD914874,C03,F,2015-07-01 0:00,,CA1,-1
169,AS726714,C01,M,2015-07-01 0:00,,CA1,0
170,HI639424,C03,M,2015-07-01 0:00,,CA1,0
171,OA310354,C01,M,2015-07-01 0:00,,CA1,-1
172,HI720107,C02,F,2015-07-01 0:00,,CA1,-1
173,HD296157,C01,M,2015-07-01 0:00,,CA1,0
174,AS015315,C01,M,2015-07-01 0:00,,CA1,0
175,HD625027,C03,M,2015-07-01 0:00,,CA1,0
176,HI323901,C01,M,2015-07-01 0:00,,CA1,0
177,TS614929,C03,F,2015-07-01 0:00,,CA1,0
178,AS868124,C01,M,2015-07-01 0:00,,CA1,0
179,HI499195,C02,F,2015-07-01 0:00,,CA1,0
180,PL445190,C01,M,2015-07-01 0:00,,CA1,0
181,PL117922,C02,F,2015-07-01 0:00,,CA1,0
182,GD837157,C01,F,2015-07-01 0:00,,CA1,0
183,OA375487,C01,M,2015-07-01 0:00,,CA1,0
184,PL863573,C01,F,2015-08-01 0:00,,CA1,0
185,IK155697,C01,F,2015-08-01 0:00,,CA1,0
186,AS132988,C01,M,2015-08-01 0:00,,CA1,0
187,HI708658,C01,F,2015-08-01 0:00,,CA1,0
188,TS223691,C01,M,2015-08-01 0:00,,CA1,0
189,OA823412,C01,M,2015-08-01 0:00,,CA1,0
190,OA545809,C01,M,2015-08-01 0:00,,CA1,-1
191,AS386696,C02,F,2015-08-01 0:00,,CA1,-1
192,IK219142,C03,M,2015-08-01 0:00,,CA1,-1
193,HI428108,C02,F,2015-08-01 0:00,,CA1,0
194,TS803730,C03,M,2015-08-01 0:00,,CA1,-1
195,GD266112,C03,M,2015-08-01 0:00,,CA1,0
196,GD687485,C01,M,2015-08-01 0:00,,CA1,0
197,TS861244,C02,F,2015-08-01 0:00,,CA1,0
198,OA313854,C03,M,2015-08-01 0:00,,CA1,0
199,PL101549,C03,M,2015-08-01 0:00,,CA1,0
200,OA484479,C01,F,2015-08-01 0:00,,CA1,0
201,HI978590,C01,F,2015-08-01 0:00,,CA1,-1
202,HD405727,C01,M,2015-08-01 0:00,,CA1,-1
203,HD145501,C03,M,2015-08-01 0:00,,CA1,0
204,HI920533,C03,M,2015-08-01 0:00,,CA1,-1
205,TS386881,C01,F,2015-08-01 0:00,,CA1,-1
206,TS864496,C01,M,2015-08-01 0:00,,CA1,-1
207,OA278526,C02,F,2015-08-01 0:00,,CA1,0
208,GD639344,C02,F,2015-08-01 0:00,,CA1,0
209,HD862235,C01,M,2015-08-01 0:00,,CA1,0
210,HI531972,C03,M,2015-08-01 0:00,,CA1,-1
211,OA368057,C01,F,2015-08-01 0:00,,CA1,0
212,TS675030,C03,M,2015-08-01 0:00,,CA1,0
213,OA085890,C01,M,2015-08-01 0:00,,CA1,0
214,PL876202,C02,F,2015-08-01 0:00,,CA1,0
215,OA250167,C01,F,2015-08-01 0:00,,CA1,0
216,TS357089,C01,M,2015-08-01 0:00,,CA1,-1
217,OA869136,C02,F,2015-08-01 0:00,,CA1,0
218,TS147383,C03,F,2015-08-01 0:00,,CA1,0
219,AS875048,C03,M,2015-08-01 0:00,,CA1,0
220,GD687670,C03,M,2015-08-01 0:00,,CA1,-1
221,IK787243,C03,M,2015-08-01 0:00,,CA1,0
222,AS092144,C01,F,2015-08-01 0:00,,CA1,0
223,IK446815,C03,M,2015-08-01 0:00,,CA1,0
224,TS085215,C03,M,2015-08-01 0:00,,CA1,0
225,PL652437,C02,F,2015-08-01 0:00,,CA1,0
226,HI929904,C01,M,2015-08-01 0:00,,CA1,-1
227,HD733934,C01,M,2015-08-01 0:00,,CA1,0
228,IK516841,C01,F,2015-08-01 0:00,,CA1,0
229,HI072340,C02,F,2015-08-01 0:00,,CA1,-1
230,HI963277,C03,M,2015-08-01 0:00,,CA1,0
231,IK248737,C02,F,2015-08-01 0:00,,CA1,-1
232,OA955085,C01,F,2015-08-01 0:00,,CA1,0
233,GD257904,C01,M,2015-08-01 0:00,,CA1,0
234,HI184733,C01,M,2015-08-01 0:00,,CA1,0
235,HI969840,C01,F,2015-08-01 0:00,,CA1,0
236,IK569155,C02,M,2015-08-01 0:00,,CA1,-1
237,OA255039,C01,M,2015-09-01 0:00,,CA1,-1
238,TS621030,C02,F,2015-09-01 0:00,,CA1,0
239,TS364512,C03,M,2015-09-01 0:00,,CA1,0
240,OA427079,C03,M,2015-09-01 0:00,,CA1,0
241,IK986011,C02,F,2015-09-01 0:00,,CA1,0
242,AS124354,C03,M,2015-09-01 0:00,,CA1,0
243,HD867526,C03,M,2015-09-01 0:00,,CA1,0
244,HD379875,C01,M,2015-09-01 0:00,,CA1,-1
245,AS736672,C01,F,2015-09-01 0:00,,CA1,0
246,OA285691,C01,M,2015-09-01 0:00,,CA1,0
247,PL634236,C01,M,2015-09-01 0:00,,CA1,-1
248,IK051737,C01,F,2015-09-01 0:00,,CA1,0
249,OA628170,C03,F,2015-09-01 0:00,,CA1,0
250,IK018825,C01,M,2015-09-01 0:00,,CA1,0
251,HI673538,C01,F,2015-09-01 0:00,,CA1,0
252,IK433428,C01,F,2015-09-01 0:00,,CA1,0
253,GD004422,C01,F,2015-09-01 0:00,,CA1,-1
254,TS861788,C01,F,2015-09-01 0:00,,CA1,0
255,AS603613,C02,F,2015-09-01 0:00,,CA1,-1
256,TS161670,C01,F,2015-09-01 0:00,,CA1,0
257,HD862369,C03,M,2015-09-01 0:00,,CA1,0
258,PL507166,C01,M,2015-09-01 0:00,,CA1,0
259,HI003514,C02,F,2015-09-01 0:00,,CA1,-1
260,TS995299,C03,M,2015-09-01 0:00,,CA1,0
261,PL753720,C01,F,2015-09-01 0:00,,CA1,0
262,IK292139,C03,M,2015-09-01 0:00,,CA1,-1
263,HD289026,C01,F,2015-09-01 0:00,,CA1,-1
264,HI376364,C01,M,2015-09-01 0:00,,CA1,0
265,HD561131,C01,F,2015-09-01 0:00,,CA1,-1
266,TS548118,C01,M,2015-09-01 0:00,,CA1,0
267,OA544396,C03,F,2015-09-01 0:00,,CA1,-1
268,IK733351,C01,M,2015-09-01 0:00,,CA1,0
269,GD280871,C02,M,2015-09-01 0:00,,CA1,0
270,HD914078,C03,F,2015-09-01 0:00,,CA1,0
271,TS159187,C03,M,2015-09-01 0:00,,CA1,0
272,IK266002,C01,M,2015-09-01 0:00,,CA1,0
273,PL144435,C02,F,2015-09-01 0:00,,CA1,0
274,HD012547,C01,M,2015-09-01 0:00,,CA1,0
275,TS624020,C03,F,2015-09-01 0:00,,CA1,0
276,GD693914,C01,M,2015-09-01 0:00,,CA1,-1
277,HD981950,C01,M,2015-09-01 0:00,,CA1,0
278,GD082396,C01,M,2015-09-01 0:00,,CA1,0
279,PL739117,C03,M,2015-09-01 0:00,,CA1,0
280,PL677323,C01,F,2015-09-01 0:00,,CA1,0
281,IK096992,C01,M,2015-09-01 0:00,,CA1,0
282,TS718154,C01,M,2015-09-01 0:00,,CA1,0
283,OA962428,C03,M,2015-09-01 0:00,,CA1,0
284,HI270880,C02,F,2015-09-01 0:00,,CA1,0
285,GD879805,C01,M,2015-09-01 0:00,,CA1,0
286,IK616816,C01,F,2015-09-01 0:00,,CA1,0
287,PL394207,C01,F,2015-09-01 0:00,,CA1,0
288,GD362521,C03,F,2015-09-01 0:00,,CA1,0
289,HD775663,C03,M,2015-09-01 0:00,,CA1,0
290,HD459783,C01,M,2015-09-01 0:00,,CA1,0
291,GD479679,C01,M,2015-09-01 0:00,,CA1,0
292,IK886752,C03,M,2015-09-01 0:00,,CA1,-1
293,HD387344,C01,F,2015-09-01 0:00,,CA1,0
294,OA763272,C01,M,2015-09-01 0:00,,CA1,-1
295,HI564909,C01,M,2015-09-01 0:00,,CA1,0
296,TS536483,C01,M,2015-09-01 0:00,,CA1,0
297,IK559274,C01,F,2015-09-01 0:00,,CA1,-1
298,HI405166,C02,F,2015-09-01 0:00,,CA1,0
299,AS468297,C01,M,2015-09-01 0:00,,CA1,0
300,TS637007,C01,M,2015-09-01 0:00,,CA1,0
301,TS168517,C01,F,2015-09-01 0:00,,CA1,0
302,AS712913,C01,M,2015-09-01 0:00,,CA1,0
303,OA075024,C01,M,2015-09-01 0:00,,CA1,0
304,IK799332,C03,M,2015-09-01 0:00,,CA1,-1
305,PL929818,C02,M,2015-09-01 0:00,,CA1,0
306,TS849376,C01,F,2015-09-01 0:00,,CA1,0
307,TS571375,C01,F,2015-09-01 0:00,,CA1,0
308,IK377403,C01,M,2015-10-01 0:00,,CA1,0
309,HD845666,C01,F,2015-10-01 0:00,,CA1,0
310,PL081925,C01,F,2015-10-01 0:00,,CA1,0
311,OA768446,C02,F,2015-10-01 0:00,,CA1,0
312,HD576900,C01,M,2015-10-01 0:00,,CA1,-1
313,GD152639,C01,M,2015-10-01 0:00,,CA1,0
314,IK453330,C03,M,2015-10-01 0:00,,CA1,-1
315,AS258098,C01,M,2015-10-01 0:00,,CA1,0
316,IK130171,C02,F,2015-10-01 0:00,,CA1,0
317,AS309101,C01,M,2015-10-01 0:00,,CA1,-1
318,AS275166,C01,M,2015-10-01 0:00,,CA1,0
319,IK771427,C02,M,2015-10-01 0:00,,CA1,0
320,HD484088,C01,M,2015-10-01 0:00,,CA1,0
321,HD176214,C01,M,2015-10-01 0:00,,CA1,0
322,HI853357,C01,M,2015-10-01 0:00,,CA1,0
323,GD589615,C01,F,2015-10-01 0:00,,CA1,0
324,GD763218,C03,M,2015-10-01 0:00,,CA1,0
325,AS404579,C01,F,2015-10-01 0:00,,CA1,0
326,OA352833,C02,M,2015-10-01 0:00,,CA1,-1
327,HI201910,C02,F,2015-10-01 0:00,,CA1,0
328,IK740134,C01,F,2015-10-01 0:00,,CA1,0
329,IK580114,C01,M,2015-10-01 0:00,,CA1,0
330,TS356315,C03,M,2015-10-01 0:00,,CA1,0
331,TS922639,C03,F,2015-10-01 0:00,,CA1,0
332,PL704025,C03,M,2015-10-01 0:00,,CA1,0
333,HD177050,C02,M,2015-10-01 0:00,,CA1,0
334,OA862614,C03,M,2015-10-01 0:00,,CA1,0
335,AS105107,C02,F,2015-10-01 0:00,,CA1,0
336,AS359364,C03,F,2015-10-01 0:00,,CA1,0
337,OA462757,C01,F,2015-10-01 0:00,,CA1,0
338,PL664277,C01,F,2015-10-01 0:00,,CA1,0
339,HD995428,C02,F,2015-10-01 0:00,,CA1,0
340,IK751998,C03,M,2015-10-01 0:00,,CA1,0
341,GD064521,C01,M,2015-10-01 0:00,,CA1,-1
342,HD708558,C01,M,2015-10-01 0:00,,CA1,0
343,PL343970,C01,F,2015-10-01 0:00,,CA1,0
344,IK983460,C02,M,2015-10-01 0:00,,CA1,0
345,IK608489,C03,M,2015-10-01 0:00,,CA1,0
346,IK200910,C02,F,2015-10-01 0:00,,CA1,0
347,AS137764,C02,M,2015-10-01 0:00,,CA1,0
348,TS640338,C01,F,2015-10-01 0:00,,CA1,-1
349,AS614406,C03,F,2015-10-01 0:00,,CA1,0
350,HD762188,C01,M,2015-10-01 0:00,,CA1,0
351,HI826338,C03,F,2015-10-01 0:00,,CA1,0
352,GD672303,C02,F,2015-10-01 0:00,,CA1,0
353,TS321715,C03,M,2015-10-01 0:00,,CA1,0
354,TS798789,C01,F,2015-10-01 0:00,,CA1,0
355,HD035838,C02,F,2015-10-01 0:00,,CA1,0
356,HI183246,C01,F,2015-10-01 0:00,,CA1,0
357,TS145533,C03,M,2015-10-01 0:00,,CA1,0
358,GD323923,C01,M,2015-10-01 0:00,,CA1,-1
359,AS211705,C03,M,2015-10-01 0:00,,CA1,0
360,IK051201,C01,M,2015-10-01 0:00,,CA1,0
361,AS038564,C01,M,2015-10-01 0:00,,CA1,0
362,PL576453,C01,M,2015-11-01 0:00,,CA1,-1
363,PL351843,C01,M,2015-11-01 0:00,,CA1,0
364,HD134052,C03,F,2015-11-01 0:00,,CA1,0
365,PL046622,C01,F,2015-11-01 0:00,,CA1,0
366,AS670699,C01,M,2015-11-01 0:00,,CA1,0
367,PL703435,C02,F,2015-11-01 0:00,,CA1,0
368,IK357689,C03,M,2015-11-01 0:00,,CA1,-1
369,TS413023,C01,M,2015-11-01 0:00,,CA1,-1
370,HD581148,C01,F,2015-11-01 0:00,,CA1,0
371,HI342075,C03,M,2015-11-01 0:00,,CA1,0
372,HI777528,C01,F,2015-11-01 0:00,,CA1,-1
373,IK766314,C02,F,2015-11-01 0:00,,CA1,0
374,GD670693,C01,F,2015-11-01 0:00,,CA1,-1
375,OA885929,C02,F,2015-11-01 0:00,,CA1,-1
376,OA737426,C01,F,2015-11-01 0:00,,CA1,-1
377,OA791937,C01,M,2015-11-01 0:00,,CA1,0
378,AS297966,C02,F,2015-11-01 0:00,,CA1,0
379,OA524517,C02,F,2015-11-01 0:00,,CA1,-1
380,PL504040,C02,F,2015-11-01 0:00,,CA1,0
381,HD894637,C01,F,2015-11-01 0:00,,CA1,-1
382,IK324758,C01,F,2015-11-01 0:00,,CA1,0
383,HI995135,C01,F,2015-11-01 0:00,,CA1,-1
384,AS462796,C03,F,2015-11-01 0:00,,CA1,-1
385,PL865030,C01,M,2015-11-01 0:00,,CA1,0
386,HI337186,C02,F,2015-11-01 0:00,,CA1,0
387,AS584189,C01,M,2015-11-01 0:00,,CA1,0
388,OA551532,C03,F,2015-11-01 0:00,,CA1,0
389,AS009373,C01,F,2015-11-01 0:00,,CA1,-1
390,OA963991,C01,F,2015-11-01 0:00,,CA1,-1
391,TS230934,C01,M,2015-11-01 0:00,,CA1,0
392,OA543860,C01,M,2015-11-01 0:00,,CA1,0
393,GD788407,C01,M,2015-11-01 0:00,,CA1,-1
394,PL817645,C01,M,2015-11-01 0:00,,CA1,-1
395,TS832330,C03,M,2015-11-01 0:00,,CA1,0
396,OA166132,C01,M,2015-11-01 0:00,,CA1,-1
397,IK025556,C01,F,2015-11-01 0:00,,CA1,0
398,OA408529,C03,M,2015-11-01 0:00,,CA1,0
399,IK417386,C01,M,2015-11-01 0:00,,CA1,0
400,OA098556,C02,F,2015-11-01 0:00,,CA1,0
401,IK320222,C01,M,2015-11-01 0:00,,CA1,0
402,HI650765,C01,M,2015-11-01 0:00,,CA1,0
403,HI196175,C01,M,2015-11-01 0:00,,CA1,0
404,IK930070,C03,F,2015-11-01 0:00,,CA1,0
405,TS797358,C01,F,2015-11-01 0:00,,CA1,-1
406,OA751110,C02,F,2015-11-01 0:00,,CA1,0
407,GD010455,C03,F,2015-11-01 0:00,,CA1,0
408,GD024299,C03,M,2015-11-01 0:00,,CA1,0
409,IK339856,C02,M,2015-11-01 0:00,,CA1,0
410,PL967244,C02,F,2015-11-01 0:00,,CA1,0
411,AS227898,C02,M,2015-11-01 0:00,,CA1,0
412,IK390163,C01,M,2015-11-01 0:00,,CA1,0
413,HD767925,C03,M,2015-11-01 0:00,,CA1,0
414,HD537465,C01,M,2015-11-01 0:00,,CA1,0
415,OA016045,C03,F,2015-11-01 0:00,,CA1,0
416,GD649455,C01,M,2015-11-01 0:00,,CA1,0
417,HD252906,C03,M,2015-11-01 0:00,,CA1,0
418,GD020270,C02,F,2015-11-01 0:00,,CA1,-1
419,HI713224,C01,M,2015-11-01 0:00,,CA1,0
420,HD810948,C03,M,2015-11-01 0:00,,CA1,-1
421,AS515526,C03,M,2015-11-01 0:00,,CA1,0
422,TS036404,C01,M,2015-11-01 0:00,,CA1,0
423,IK986467,C02,F,2015-11-01 0:00,,CA1,0
424,HI207536,C01,M,2015-11-01 0:00,,CA1,0
425,GD001777,C03,M,2015-12-01 0:00,,CA1,0
426,OA409321,C02,F,2015-12-01 0:00,,CA1,0
427,HD074397,C01,M,2015-12-01 0:00,,CA1,0
428,GD900956,C01,M,2015-12-01 0:00,,CA1,0
429,OA003002,C02,F,2015-12-01 0:00,,CA1,0
430,AS926099,C01,F,2015-12-01 0:00,,CA1,-1
431,OA869095,C01,F,2015-12-01 0:00,,CA1,0
432,HI654756,C01,M,2015-12-01 0:00,,CA1,0
433,TS558026,C02,M,2015-12-01 0:00,,CA1,0
434,GD289305,C01,F,2015-12-01 0:00,,CA1,0
435,PL152339,C02,M,2015-12-01 0:00,,CA1,0
436,HI702171,C03,F,2015-12-01 0:00,,CA1,-1
437,GD635509,C01,M,2015-12-01 0:00,,CA1,0
438,HI015767,C03,M,2015-12-01 0:00,,CA1,-1
439,IK670283,C02,F,2015-12-01 0:00,,CA1,0
440,TS660622,C03,M,2015-12-01 0:00,,CA1,0
441,TS426363,C03,M,2015-12-01 0:00,,CA1,0
442,PL648343,C02,F,2015-12-01 0:00,,CA1,0
443,HD052411,C01,M,2015-12-01 0:00,,CA1,-1
444,OA419310,C01,F,2015-12-01 0:00,,CA1,-1
445,PL758046,C01,M,2015-12-01 0:00,,CA1,0
446,OA808374,C03,M,2015-12-01 0:00,,CA1,0
447,IK755649,C01,M,2015-12-01 0:00,,CA1,0
448,HI098767,C03,F,2015-12-01 0:00,,CA1,0
449,GD970368,C01,M,2015-12-01 0:00,,CA1,0
450,TS260662,C02,M,2015-12-01 0:00,,CA1,0
451,GD873389,C01,M,2015-12-01 0:00,,CA1,0
452,OA129078,C01,F,2015-12-01 0:00,,CA1,0
453,HD137947,C01,M,2015-12-01 0:00,,CA1,0
454,HD862903,C02,F,2015-12-01 0:00,,CA1,0
455,PL786455,C02,F,2015-12-01 0:00,,CA1,0
456,TS052320,C02,F,2015-12-01 0:00,,CA1,0
457,HD973885,C01,F,2015-12-01 0:00,,CA1,0
458,TS520001,C03,F,2015-12-01 0:00,,CA1,0
459,PL710888,C01,F,2015-12-01 0:00,,CA1,-1
460,HI518408,C01,M,2015-12-01 0:00,,CA1,0
